Time,M_C,ExtFrag,IntFrag
1,0.33,10.49,0.00
2,0.66,10.16,0.00
3,0.92,9.91,0.00
4,1.17,9.66,0.00
5,1.42,9.41,0.00
6,1.66,9.16,0.00
7,1.91,8.91,0.00
8,2.16,8.66,0.00
9,2.41,8.41,0.00
10,2.66,8.16,0.00
11,2.91,7.91,0.00
12,3.16,7.66,0.00
13,3.41,7.41,0.00
14,3.66,7.16,0.00
15,3.91,6.91,0.00
16,4.15,6.67,0.00
17,4.40,6.41,0.00
18,4.64,6.16,0.00
19,4.89,5.91,0.00
20,5.14,5.67,0.00
21,5.39,5.42,0.00
22,5.64,5.17,0.00
23,5.89,4.92,0.00
24,6.14,4.67,0.00
25,6.39,4.42,0.00
26,6.64,4.17,0.00
27,7.04,3.77,0.00
28,7.48,3.33,0.00
29,0.06,10.77,0.00
30,0.35,10.48,0.00
31,0.62,10.20,0.00
32,0.88,9.95,0.00
33,1.14,9.69,0.00
34,1.40,9.43,0.00
35,1.66,9.17,0.00
36,1.87,8.96,0.00
37,2.07,8.76,0.00
38,2.27,8.54,0.00
39,2.47,8.34,0.00
40,2.67,8.14,0.00
41,2.87,7.94,0.00
42,3.07,7.73,0.00
43,3.28,7.54,0.00
44,3.48,7.34,0.00
45,3.68,7.13,0.00
46,3.88,6.94,0.00
47,4.08,6.73,0.00
48,4.28,6.53,0.00
49,4.48,6.33,0.00
50,4.68,6.13,0.00
51,4.88,5.93,0.00
52,5.08,5.73,0.00
53,5.29,5.52,0.00
54,5.49,5.33,0.00
55,5.69,5.12,0.00
56,5.89,4.92,0.00
57,6.09,4.72,0.00
58,6.29,4.52,0.00
59,6.49,4.32,0.00
60,6.69,4.12,0.00
61,6.90,3.92,0.00
62,7.10,3.72,0.00
63,7.30,3.52,0.00
64,7.50,3.31,0.00
65,6.73,4.04,0.00
66,0.09,10.73,0.00
67,0.29,10.53,0.00
68,0.49,10.33,0.00
69,0.69,10.13,0.00
70,0.88,9.94,0.00
71,1.08,9.74,0.00
72,1.28,9.55,0.00
73,1.47,9.35,0.00
74,1.67,9.16,0.00
75,1.87,8.95,0.00
76,2.07,8.75,0.00
77,2.26,8.55,0.00
78,2.46,8.36,0.00
79,2.65,8.16,0.00
80,2.85,7.97,0.00
81,3.05,7.77,0.00
82,3.24,7.58,0.00
83,3.44,7.38,0.00
84,3.63,7.19,0.00
85,3.83,6.99,0.00
86,4.02,6.80,0.00
87,4.22,6.60,0.00
88,4.41,6.41,0.00
89,4.61,6.21,0.00
90,4.81,6.02,0.00
91,5.00,5.81,0.00
92,5.20,5.62,0.00
93,5.39,5.43,0.00
94,5.59,5.23,0.00
95,5.78,5.04,0.00
96,5.98,4.84,0.00
97,6.18,4.64,0.00
98,6.37,4.45,0.00
99,6.57,4.26,0.00
100,6.76,4.06,0.00
101,6.96,3.86,0.00
102,7.15,3.67,0.00
103,7.35,3.48,0.00
104,7.55,3.27,0.00
105,5.74,5.01,0.00
106,0.16,10.65,0.00
107,0.56,10.25,0.00
108,0.99,9.82,0.00
109,1.42,9.39,0.00
110,1.84,8.97,0.00
111,2.27,8.54,0.00
112,2.69,8.12,0.00
113,3.11,7.70,0.00
114,3.54,7.27,0.00
115,3.96,6.85,0.00
116,4.38,6.43,0.00
117,4.80,6.01,0.00
118,5.23,5.59,0.00
119,5.65,5.16,0.00
120,6.07,4.73,0.00
121,6.50,4.31,0.00
122,6.92,3.89,0.00
123,7.34,3.47,0.00
124,4.71,6.05,0.00
125,0.11,10.69,0.00
126,0.31,10.49,0.00
127,0.51,10.30,0.00
128,0.70,10.10,0.00
129,0.90,9.91,0.00
130,1.09,9.71,0.00
131,1.35,9.45,0.00
132,1.60,9.20,0.00
133,1.86,8.95,0.00
134,2.11,8.69,0.00
135,2.37,8.43,0.00
136,2.63,8.18,0.00
137,2.88,7.92,0.00
138,3.14,7.66,0.00
139,3.39,7.41,0.00
140,3.65,7.15,0.00
141,3.91,6.90,0.00
142,4.16,6.64,0.00
143,4.42,6.38,0.00
144,4.68,6.12,0.00
145,4.93,5.88,0.00
146,5.19,5.62,0.00
147,5.44,5.36,0.00
148,5.70,5.10,0.00
149,5.96,4.84,0.00
150,6.22,4.59,0.00
151,6.48,4.33,0.00
152,6.73,4.07,0.00
153,6.99,3.81,0.00
154,7.25,3.55,0.00
155,7.51,3.30,0.00
156,6.58,4.12,0.00
157,0.06,10.72,0.00
158,0.26,10.52,0.00
159,0.46,10.32,0.00
160,0.66,10.12,0.00
161,0.86,9.92,0.00
162,1.05,9.73,0.00
163,1.25,9.52,0.00
164,1.46,9.32,0.00
165,1.66,9.12,0.00
166,1.86,8.92,0.00
167,2.06,8.72,0.00
168,2.26,8.52,0.00
169,2.46,8.32,0.00
170,2.66,8.12,0.00
171,2.87,7.91,0.00
172,3.07,7.71,0.00
173,3.27,7.51,0.00
174,3.47,7.31,0.00
175,3.67,7.11,0.00
176,3.87,6.91,0.00
177,4.07,6.71,0.00
178,4.27,6.52,0.00
179,4.47,6.31,0.00
180,4.67,6.11,0.00
181,4.88,5.91,0.00
182,5.08,5.70,0.00
183,5.28,5.50,0.00
184,5.48,5.30,0.00
185,5.68,5.10,0.00
186,5.88,4.90,0.00
187,6.09,4.70,0.00
188,6.29,4.49,0.00
189,6.49,4.29,0.00
190,6.69,4.09,0.00
191,6.89,3.89,0.00
192,7.09,3.69,0.00
193,7.29,3.49,0.00
194,7.49,3.29,0.00
195,7.68,3.05,0.00
196,0.47,10.23,0.00
197,0.43,10.35,0.00
198,0.85,9.94,0.00
199,1.26,9.52,0.00
