Time,M_C,ExtFrag,IntFrag
1,7.64,2.84,7.37
2,7.64,2.84,7.14
3,7.64,2.84,6.95
4,7.64,2.84,6.77
5,7.64,2.84,6.58
6,7.64,2.84,6.40
7,7.64,2.84,6.21
8,7.64,2.84,6.03
9,7.64,2.83,5.84
10,7.64,2.83,5.65
11,7.64,2.83,5.47
12,7.64,2.83,5.28
13,7.64,2.83,5.10
14,7.64,2.83,4.91
15,7.64,2.83,4.73
16,7.64,2.83,4.54
17,7.64,2.82,4.36
18,7.64,2.82,4.17
19,7.64,2.82,3.98
20,7.64,2.82,3.80
21,7.64,2.82,3.61
22,7.64,2.82,3.43
23,7.64,2.82,3.24
24,7.64,2.82,3.06
25,7.64,2.82,2.87
26,7.64,2.82,2.68
27,7.64,2.82,2.50
28,7.64,2.82,2.31
29,7.64,2.82,2.12
30,7.65,2.82,1.94
31,7.65,2.82,1.75
32,7.65,2.82,1.57
33,7.65,2.82,1.38
34,7.65,2.82,1.19
35,7.65,2.82,1.01
36,7.65,2.82,0.82
37,7.65,2.82,0.64
38,7.65,2.80,0.45
39,7.65,2.80,0.26
40,7.65,2.80,0.08
41,0.02,2.80,0.00
46,0.02,2.80,0.00
47,7.64,2.84,7.54
48,7.64,2.84,7.17
49,7.64,2.84,6.78
50,7.64,2.84,6.39
51,7.64,2.84,5.99
52,7.64,2.84,5.60
53,7.64,2.84,5.20
54,7.64,2.84,4.81
55,7.64,2.84,4.42
56,7.64,2.84,4.02
57,7.64,2.84,3.63
58,7.65,2.84,3.24
59,7.65,2.84,2.84
60,7.65,2.84,2.45
61,7.65,2.84,2.06
62,7.65,2.84,1.67
63,7.65,2.84,1.28
64,7.65,2.84,0.89
65,7.65,2.84,0.50
66,7.65,2.84,0.11
67,0.01,2.84,0.00
69,0.01,2.84,0.00
70,0.01,2.80,0.00
71,7.65,2.83,7.41
72,7.65,2.83,7.17
73,7.65,2.83,6.93
74,7.65,2.83,6.69
75,7.65,2.83,6.45
76,7.65,2.83,6.21
77,7.65,2.83,5.97
78,7.65,2.83,5.73
79,7.65,2.83,5.49
80,7.65,2.82,5.25
81,7.65,2.82,5.01
82,7.65,2.82,4.77
83,7.65,2.82,4.53
84,7.65,2.82,4.29
85,7.65,2.82,4.04
86,7.65,2.82,3.81
87,7.65,2.82,3.56
88,7.65,2.82,3.32
89,7.65,2.82,3.08
90,7.65,2.82,2.84
91,7.65,2.82,2.60
92,7.65,2.82,2.36
93,7.65,2.82,2.12
94,7.65,2.82,1.88
95,7.65,2.82,1.64
96,7.65,2.82,1.40
97,7.65,2.82,1.16
98,7.65,2.82,0.91
99,7.65,2.82,0.67
100,7.65,2.82,0.44
101,7.65,2.82,0.19
102,0.02,2.82,0.00
106,0.02,2.82,0.00
