Time,M_C,ExtFrag,IntFrag
1,1.74,542.68,1.24
6,2.23,542.46,1.40
14,2.52,542.34,1.50
17,2.80,542.16,1.59
19,2.96,542.08,1.65
20,3.08,542.01,1.68
21,3.18,541.95,1.71
22,3.29,541.87,1.75
23,3.39,541.80,1.78
24,3.46,541.75,1.81
25,4.02,541.20,1.94
29,4.02,541.20,1.94
30,4.08,541.15,1.83
31,4.12,541.15,1.71
32,4.16,541.15,1.60
33,4.20,541.15,1.48
34,4.24,541.14,1.37
35,4.28,541.14,1.25
36,4.32,541.14,1.14
37,4.36,541.11,1.03
38,5.37,540.55,1.97
39,5.41,539.98,1.83
40,5.45,539.39,1.72
41,5.49,538.77,1.61
42,5.52,538.20,1.52
43,5.55,537.64,1.42
44,5.59,536.92,1.31
45,5.63,536.30,1.19
46,5.66,535.64,1.07
47,6.70,535.08,1.98
48,6.71,534.77,1.93
49,6.75,534.20,1.83
50,6.78,533.70,1.74
51,6.81,533.07,1.64
52,6.84,532.51,1.54
53,6.87,531.88,1.43
54,6.91,531.25,1.32
55,6.95,530.63,1.22
56,6.98,530.04,1.12
57,7.02,529.51,1.02
58,8.03,529.23,1.98
59,8.05,528.91,1.93
60,8.08,528.48,1.85
61,8.11,527.95,1.76
62,8.14,527.34,1.67
63,8.17,526.89,1.59
64,8.19,526.38,1.51
65,8.22,525.98,1.43
66,8.25,525.54,1.36
67,8.27,525.02,1.28
68,8.30,524.56,1.20
69,8.32,524.04,1.13
70,8.35,523.60,1.05
71,9.37,523.20,1.98
72,9.38,523.07,1.95
73,9.41,522.66,1.89
74,9.43,522.29,1.82
75,9.46,521.79,1.74
76,9.48,521.35,1.67
77,9.51,520.94,1.59
78,9.53,520.52,1.51
79,9.56,520.11,1.44
80,9.58,519.67,1.37
81,9.60,519.30,1.30
82,9.63,518.83,1.23
83,9.65,518.45,1.16
84,9.68,518.08,1.09
85,9.70,517.70,1.03
86,10.71,517.52,1.98
87,10.72,517.42,1.97
88,10.74,516.92,1.90
89,10.77,516.58,1.83
90,10.79,516.11,1.76
91,10.81,515.70,1.70
92,10.84,515.35,1.63
93,10.86,514.98,1.56
94,10.88,514.54,1.49
95,10.91,514.23,1.43
96,10.93,513.76,1.36
97,10.95,513.38,1.29
98,10.97,513.00,1.23
99,11.00,512.58,1.16
100,11.02,512.20,1.10
101,11.04,511.84,1.03
102,12.06,511.62,1.98
103,12.07,511.47,1.95
104,12.09,511.02,1.89
105,12.11,510.65,1.82
106,12.14,510.20,1.75
107,12.16,509.75,1.69
108,12.18,509.44,1.62
109,12.21,508.92,1.55
110,12.23,508.40,1.47
111,12.26,507.88,1.39
112,12.29,507.50,1.31
113,12.31,507.03,1.23
114,12.34,506.59,1.16
115,12.36,506.22,1.09
116,12.39,505.79,1.02
117,13.40,505.45,1.98
118,13.42,505.16,1.92
119,13.45,504.79,1.84
120,13.47,504.40,1.77
121,13.50,503.80,1.70
122,13.52,503.44,1.64
123,13.54,502.93,1.57
124,13.57,502.53,1.50
125,13.59,502.16,1.43
126,13.61,501.78,1.36
127,13.64,501.30,1.29
128,13.66,500.96,1.23
129,13.68,500.58,1.16
130,13.71,500.17,1.09
131,13.73,499.74,1.01
132,14.74,499.34,1.98
133,14.76,499.13,1.93
134,14.78,498.80,1.87
135,14.81,498.37,1.80
136,14.83,497.92,1.74
137,14.85,497.52,1.67
138,14.87,497.08,1.60
139,14.90,496.70,1.54
140,14.92,496.32,1.47
141,14.94,495.94,1.41
142,14.96,495.59,1.35
143,14.98,495.16,1.28
144,15.00,494.82,1.22
145,15.03,494.43,1.16
146,15.05,494.06,1.10
147,15.07,493.74,1.04
148,15.09,493.27,0.98
149,16.10,492.91,1.95
150,16.12,492.70,1.89
151,16.14,492.30,1.82
152,16.16,491.90,1.76
153,16.18,491.54,1.70
154,16.20,491.15,1.64
155,16.22,490.83,1.59
156,16.24,490.47,1.53
157,16.26,490.14,1.48
158,16.28,489.83,1.42
159,16.30,489.46,1.36
160,16.32,489.12,1.31
161,16.34,488.76,1.25
162,16.36,488.40,1.20
163,16.37,488.07,1.15
164,16.39,487.72,1.09
165,16.41,487.37,1.05
166,16.43,487.08,1.00
167,17.44,486.79,1.97
168,17.45,486.58,1.92
169,17.47,486.23,1.87
170,17.49,485.95,1.82
171,17.50,485.66,1.77
172,17.52,485.38,1.72
173,17.54,485.09,1.67
174,17.56,484.77,1.62
175,17.57,484.49,1.57
176,17.59,484.20,1.53
177,17.61,483.94,1.48
178,17.62,483.62,1.43
179,17.64,483.32,1.38
180,17.66,483.06,1.33
181,17.67,482.71,1.28
182,17.69,482.41,1.24
183,17.70,482.08,1.19
184,17.72,481.81,1.16
185,17.73,481.59,1.12
186,17.74,481.32,1.07
187,17.76,481.06,1.03
188,17.78,480.77,0.98
189,18.79,480.50,1.96
190,18.81,480.34,1.91
191,18.82,480.09,1.87
