Time,M_C,ExtFrag,IntFrag
1,0.15,160.91,0.00
2,0.26,160.87,0.00
3,0.41,160.76,0.00
4,0.54,160.55,0.00
5,0.66,159.83,0.00
6,0.76,159.28,0.00
7,0.87,158.76,0.00
8,0.99,158.03,0.00
9,1.09,157.47,0.00
10,1.20,156.83,0.00
11,1.32,156.11,0.00
12,1.42,155.53,0.00
13,1.52,155.07,0.00
14,1.62,154.55,0.00
15,1.71,153.96,0.00
16,1.81,153.41,0.00
17,1.90,152.91,0.00
18,1.98,152.44,0.00
19,2.08,151.80,0.00
20,2.16,151.45,0.00
21,2.24,150.91,0.00
22,2.33,150.50,0.00
23,2.41,150.02,0.00
24,2.50,149.54,0.00
25,2.58,149.15,0.00
26,2.66,148.75,0.00
27,2.74,148.26,0.00
28,2.82,147.87,0.00
29,2.90,147.36,0.00
30,2.97,146.92,0.00
31,3.05,146.55,0.00
32,3.13,146.13,0.00
33,3.20,145.75,0.00
34,3.27,145.35,0.00
35,3.34,144.97,0.00
36,3.41,144.61,0.00
37,3.48,144.27,0.00
38,3.55,143.92,0.00
39,3.61,143.70,0.00
40,3.67,143.41,0.00
41,3.73,142.92,0.00
42,3.79,142.61,0.00
43,3.85,142.23,0.00
44,3.91,141.88,0.00
45,3.98,141.55,0.00
46,4.04,141.25,0.00
47,4.10,140.88,0.00
48,4.16,140.59,0.00
49,4.21,140.23,0.00
50,4.27,139.89,0.00
51,4.33,139.60,0.00
52,4.39,139.31,0.00
53,4.44,139.00,0.00
54,4.50,138.74,0.00
55,4.55,138.45,0.00
56,4.61,138.12,0.00
57,4.66,137.78,0.00
58,4.71,137.50,0.00
59,4.77,137.23,0.00
60,4.82,136.95,0.00
61,4.87,136.68,0.00
62,4.92,136.45,0.00
63,4.97,136.16,0.00
64,5.02,135.89,0.00
65,5.07,135.56,0.00
66,5.11,135.26,0.00
67,5.16,135.01,0.00
68,5.21,134.76,0.00
69,5.25,134.48,0.00
70,5.30,134.27,0.00
71,5.34,134.04,0.00
72,5.39,133.80,0.00
73,5.43,133.58,0.00
74,5.48,133.37,0.00
75,5.53,133.03,0.00
76,5.57,132.66,0.00
77,5.61,132.39,0.00
78,5.66,132.14,0.00
79,5.70,131.86,0.00
80,5.74,131.62,0.00
81,5.78,131.41,0.00
82,5.83,131.19,0.00
83,5.87,130.98,0.00
84,5.91,130.77,0.00
85,5.95,130.56,0.00
86,5.99,130.34,0.00
87,6.03,130.11,0.00
88,6.07,129.88,0.00
89,6.11,129.65,0.00
90,6.14,129.41,0.00
91,6.19,129.19,0.00
92,6.22,128.94,0.00
93,6.26,128.76,0.00
94,6.29,128.58,0.00
95,6.33,128.41,0.00
96,6.36,128.20,0.00
97,6.41,128.02,0.00
98,6.44,127.83,0.00
99,6.48,127.64,0.00
100,6.51,127.39,0.00
101,6.55,127.17,0.00
102,6.58,127.02,0.00
103,6.61,126.88,0.00
104,6.65,126.56,0.00
105,6.68,126.30,0.00
106,6.72,126.12,0.01
107,6.76,125.90,0.01
108,6.79,125.71,0.01
109,6.83,125.51,0.01
110,6.86,125.32,0.01
111,6.89,125.14,0.01
112,6.93,124.97,0.01
113,6.96,124.75,0.01
114,7.00,124.55,0.01
115,7.03,124.36,0.01
116,7.06,124.23,0.01
117,7.08,124.03,0.01
118,7.11,123.86,0.01
119,7.14,123.70,0.01
120,7.17,123.51,0.01
121,7.20,123.34,0.01
122,7.23,123.20,0.01
123,7.26,123.01,0.01
124,7.29,122.87,0.01
125,7.32,122.70,0.01
126,7.35,122.55,0.01
127,7.38,122.41,0.01
128,7.42,122.23,0.01
129,7.44,122.05,0.01
130,7.47,121.90,0.01
131,7.50,121.73,0.01
132,7.52,121.59,0.01
133,7.55,121.45,0.01
134,7.59,121.27,0.01
135,7.62,121.09,0.01
136,7.65,120.91,0.01
137,7.68,120.73,0.01
138,7.71,120.55,0.01
139,7.74,120.38,0.01
140,7.77,120.23,0.01
141,7.80,120.05,0.01
142,7.82,119.91,0.01
143,7.85,119.72,0.01
144,7.88,119.55,0.01
145,7.91,119.40,0.01
146,7.93,119.24,0.01
147,7.96,119.05,0.01
148,7.99,118.90,0.01
149,8.02,118.72,0.01
150,8.05,118.56,0.01
151,8.08,118.41,0.01
152,8.11,118.27,0.01
153,8.14,118.12,0.01
154,8.16,117.94,0.01
155,8.19,117.83,0.01
156,8.21,117.70,0.01
157,8.24,117.57,0.01
158,8.27,117.41,0.01
159,8.30,117.28,0.01
160,8.32,117.10,0.01
161,8.35,116.92,0.01
162,8.37,116.80,0.01
163,8.40,116.70,0.01
164,8.42,116.55,0.01
165,8.45,116.39,0.01
166,8.47,116.23,0.01
167,8.50,116.11,0.01
168,8.52,115.98,0.01
169,8.55,115.82,0.01
170,8.57,115.69,0.01
171,8.60,115.56,0.01
172,8.63,115.41,0.01
173,8.66,115.27,0.01
174,8.68,115.15,0.01
175,8.71,115.02,0.01
176,8.73,114.92,0.01
177,8.76,114.77,0.01
178,8.78,114.61,0.01
179,8.81,114.45,0.01
180,8.83,114.31,0.01
181,8.85,114.17,0.01
182,8.87,114.03,0.01
183,8.90,113.88,0.01
184,8.93,113.78,0.01
185,8.95,113.61,0.01
186,8.97,113.48,0.01
187,9.00,113.33,0.01
188,9.02,113.15,0.01
189,9.04,113.02,0.01
190,9.07,112.86,0.01
191,9.09,112.74,0.01
192,9.12,112.61,0.01
193,9.14,112.46,0.01
194,9.16,112.37,0.01
195,9.19,112.27,0.01
196,9.21,112.12,0.01
197,9.24,111.98,0.01
198,9.26,111.85,0.01
199,9.28,111.72,0.01
200,9.30,111.62,0.01
201,9.33,111.50,0.01
202,9.35,111.41,0.01
203,9.37,111.27,0.01
204,9.40,111.07,0.01
205,9.42,110.96,0.01
206,9.44,110.85,0.01
207,9.47,110.67,0.01
208,9.49,110.55,0.01
209,9.51,110.42,0.01
210,9.53,110.28,0.01
211,9.56,110.15,0.01
212,9.58,110.00,0.01
213,9.60,109.88,0.01
214,9.62,109.78,0.01
215,9.64,109.69,0.01
216,9.66,109.59,0.01
217,9.68,109.49,0.01
218,9.71,109.35,0.01
219,9.73,109.21,0.01
220,9.75,109.12,0.01
221,9.77,109.01,0.01
222,9.79,108.91,0.01
223,9.81,108.78,0.01
224,9.83,108.67,0.01
225,9.86,108.51,0.01
226,9.88,108.40,0.01
227,9.90,108.24,0.01
228,9.92,108.12,0.01
229,9.94,108.01,0.01
230,9.96,107.88,0.01
231,9.98,107.78,0.01
232,10.00,107.63,0.01
233,10.02,107.52,0.01
234,10.04,107.38,0.01
235,10.06,107.23,0.01
236,10.08,107.16,0.01
237,10.10,107.05,0.01
238,10.12,106.95,0.01
239,10.14,106.86,0.01
240,10.16,106.72,0.01
241,10.19,106.58,0.01
242,10.21,106.47,0.01
243,10.23,106.34,0.01
244,10.25,106.22,0.01
245,10.27,106.12,0.01
246,10.29,106.03,0.01
247,10.31,105.90,0.01
248,10.33,105.80,0.01
249,10.35,105.71,0.01
250,10.37,105.61,0.01
251,10.38,105.51,0.01
252,10.41,105.43,0.01
253,10.43,105.28,0.01
254,10.45,105.16,0.01
255,10.47,105.02,0.01
256,10.48,104.92,0.01
257,10.50,104.84,0.01
258,10.53,104.73,0.01
259,10.54,104.54,0.01
260,10.56,104.44,0.01
261,10.58,104.35,0.01
262,10.60,104.24,0.01
263,10.62,104.18,0.01
264,10.64,104.05,0.01
265,10.65,103.96,0.01
266,10.67,103.88,0.01
267,10.69,103.73,0.01
268,10.71,103.66,0.01
269,10.73,103.55,0.01
270,10.75,103.46,0.01
271,10.77,103.33,0.01
272,10.79,103.23,0.01
273,10.81,103.16,0.01
274,10.82,103.04,0.01
275,10.84,102.95,0.01
276,10.86,102.88,0.01
277,10.88,102.71,0.01
278,10.89,102.61,0.01
279,10.91,102.54,0.01
280,10.93,102.46,0.01
281,10.95,102.34,0.01
282,10.97,102.26,0.01
283,10.98,102.14,0.01
284,11.00,102.04,0.01
285,11.04,101.86,0.01
286,11.04,101.86,0.01
287,11.05,101.77,0.01
288,11.07,101.62,0.01
289,11.09,101.52,0.01
290,11.10,101.45,0.01
291,11.12,101.36,0.01
292,11.14,101.23,0.01
293,11.16,101.11,0.01
294,11.18,101.02,0.01
295,11.19,100.90,0.01
296,11.21,100.79,0.01
297,11.22,100.71,0.01
298,11.24,100.63,0.01
299,11.26,100.55,0.01
300,11.27,100.45,0.01
301,11.29,100.35,0.01
302,11.31,100.29,0.01
303,11.33,100.17,0.01
304,11.34,100.11,0.01
305,11.36,99.99,0.01
306,11.38,99.89,0.01
307,11.40,99.80,0.01
308,11.42,99.73,0.01
309,11.44,99.59,0.01
310,11.45,99.48,0.01
311,11.47,99.40,0.01
312,11.49,99.28,0.01
313,11.50,99.21,0.01
314,11.52,99.10,0.01
315,11.54,98.96,0.01
316,11.55,98.88,0.01
317,11.57,98.77,0.01
318,11.59,98.66,0.01
319,11.61,98.56,0.01
320,11.62,98.49,0.01
321,11.64,98.40,0.01
322,11.66,98.33,0.01
323,11.68,98.16,0.01
324,11.69,98.07,0.01
325,11.71,98.01,0.01
326,11.72,97.95,0.01
327,11.74,97.80,0.01
328,11.76,97.72,0.01
329,11.77,97.61,0.01
330,11.79,97.55,0.01
331,11.81,97.45,0.01
332,11.82,97.36,0.01
333,11.84,97.29,0.01
334,11.85,97.22,0.01
335,11.87,97.11,0.01
336,11.89,97.05,0.01
337,11.90,96.93,0.01
338,11.92,96.80,0.01
339,11.94,96.69,0.01
340,11.95,96.62,0.01
341,11.97,96.52,0.01
342,12.00,96.44,0.01
343,12.01,96.38,0.01
344,12.03,96.30,0.01
345,12.04,96.21,0.01
346,12.06,96.12,0.01
347,12.08,96.03,0.01
348,12.09,95.97,0.01
349,12.11,95.90,0.01
350,12.13,95.73,0.01
351,12.14,95.67,0.01
352,12.16,95.59,0.01
353,12.18,95.48,0.01
354,12.19,95.38,0.01
355,12.21,95.30,0.01
356,12.23,95.20,0.01
357,12.24,95.09,0.01
358,12.26,95.01,0.01
359,12.27,94.90,0.01
360,12.29,94.84,0.01
361,12.32,94.70,0.01
362,12.32,94.70,0.01
363,12.34,94.58,0.01
364,12.35,94.49,0.01
365,12.37,94.39,0.01
366,12.38,94.30,0.01
367,12.40,94.20,0.01
368,12.41,94.08,0.01
369,12.43,94.00,0.01
370,12.45,93.93,0.01
371,12.46,93.83,0.01
372,12.48,93.71,0.01
373,12.50,93.65,0.01
374,12.51,93.57,0.01
375,12.53,93.48,0.01
376,12.54,93.48,0.01
377,12.56,93.38,0.01
378,12.57,93.27,0.01
379,12.59,93.20,0.01
380,12.60,93.10,0.01
381,12.62,93.02,0.01
382,12.63,93.02,0.01
383,12.64,92.91,0.01
384,12.66,92.84,0.01
385,12.68,92.72,0.01
386,12.69,92.60,0.01
387,12.71,92.50,0.01
388,12.72,92.44,0.01
389,12.74,92.34,0.01
390,12.75,92.24,0.01
391,12.77,92.21,0.01
392,12.78,92.09,0.01
393,12.80,92.00,0.01
394,12.81,91.93,0.01
395,12.82,91.85,0.01
396,12.84,91.78,0.01
397,12.86,91.71,0.01
398,12.87,91.71,0.01
399,12.88,91.56,0.01
400,12.89,91.53,0.01
401,12.91,91.41,0.01
402,12.92,91.31,0.01
403,12.94,91.23,0.01
404,12.95,91.11,0.01
405,12.96,91.05,0.01
406,12.98,90.94,0.01
407,12.99,90.91,0.01
408,13.01,90.77,0.01
409,13.02,90.74,0.01
410,13.03,90.71,0.01
411,13.05,90.62,0.01
412,13.06,90.48,0.01
413,13.08,90.45,0.01
414,13.09,90.39,0.01
415,13.11,90.36,0.01
416,13.12,90.22,0.01
417,13.14,90.19,0.01
418,13.15,90.07,0.01
419,13.17,89.98,0.01
420,13.18,89.95,0.01
421,13.19,89.80,0.01
422,13.20,89.78,0.01
423,13.22,89.67,0.01
424,13.23,89.61,0.01
425,13.25,89.55,0.01
426,13.26,89.48,0.01
427,13.27,89.41,0.01
428,13.29,89.31,0.01
429,13.30,89.23,0.01
430,13.32,89.17,0.01
