Time,M_C,ExtFrag,IntFrag
1,0.17,84.62,0.00
2,0.28,84.51,0.00
3,0.40,84.38,0.00
4,0.53,84.26,0.00
5,0.63,84.14,0.00
6,0.73,84.05,0.00
7,0.84,83.94,0.00
8,0.94,83.83,0.00
9,1.07,83.70,0.00
10,1.18,83.59,0.00
11,1.28,83.48,0.00
12,1.40,83.37,0.00
13,1.51,83.25,0.00
14,1.63,83.10,0.00
15,1.75,82.98,0.00
16,1.86,82.86,0.00
17,1.97,82.74,0.00
18,2.09,82.62,0.00
19,2.22,82.49,0.00
20,2.37,82.34,0.00
21,2.53,82.17,0.00
22,2.65,82.05,0.00
23,2.77,81.93,0.00
24,2.87,81.83,0.00
25,2.98,81.72,0.00
26,3.09,81.62,0.00
27,3.22,81.48,0.00
28,3.33,81.37,0.00
29,3.46,81.23,0.00
30,3.60,81.09,0.00
31,3.72,80.98,0.00
32,3.82,80.87,0.00
33,3.93,80.76,0.00
34,4.04,80.65,0.00
35,4.14,80.54,0.00
36,4.27,80.41,0.00
37,4.39,80.30,0.00
38,4.51,80.16,0.00
39,4.62,80.04,0.00
40,4.73,79.93,0.00
41,4.82,79.84,0.00
42,4.94,79.72,0.00
43,5.04,79.62,0.01
44,5.14,79.52,0.01
45,5.25,79.40,0.01
46,5.37,79.27,0.01
47,5.49,79.16,0.01
48,5.62,79.03,0.01
49,5.73,78.92,0.01
50,5.84,78.80,0.01
51,5.95,78.70,0.01
52,6.06,78.58,0.01
53,6.17,78.48,0.01
54,6.27,78.37,0.01
55,6.44,78.20,0.01
56,6.54,78.10,0.01
57,6.66,77.98,0.01
58,6.78,77.85,0.01
59,6.88,77.74,0.01
60,7.00,77.63,0.01
61,7.09,77.54,0.01
62,7.20,77.43,0.01
63,7.31,77.32,0.01
64,7.42,77.21,0.01
65,7.52,77.11,0.01
66,7.60,77.02,0.01
67,7.71,76.90,0.01
68,7.82,76.80,0.01
69,7.93,76.69,0.01
70,8.02,76.59,0.01
71,8.12,76.48,0.01
72,8.21,76.39,0.01
73,8.30,76.30,0.01
74,8.39,76.22,0.01
75,8.49,76.11,0.01
76,8.62,75.98,0.01
77,8.72,75.88,0.01
78,8.80,75.80,0.01
79,8.95,75.64,0.01
80,9.06,75.54,0.01
81,9.15,75.44,0.01
82,9.26,75.33,0.01
83,9.36,75.22,0.01
84,9.47,75.12,0.01
85,9.57,75.02,0.01
86,9.67,74.91,0.01
87,9.78,74.80,0.01
88,9.90,74.68,0.01
89,10.01,74.56,0.01
90,10.13,74.45,0.01
91,10.22,74.36,0.01
92,10.32,74.26,0.01
93,10.43,74.14,0.01
94,10.53,74.04,0.01
95,10.64,73.93,0.01
96,10.76,73.81,0.01
97,10.84,73.73,0.01
98,10.93,73.63,0.01
99,11.04,73.52,0.01
100,11.13,73.43,0.01
101,11.24,73.32,0.01
102,11.34,73.21,0.01
103,11.45,73.11,0.01
104,11.55,73.00,0.01
105,11.65,72.91,0.01
106,11.76,72.80,0.01
107,11.85,72.70,0.01
108,11.97,72.58,0.01
109,12.09,72.45,0.01
110,12.31,72.23,0.01
111,12.42,72.12,0.01
112,12.53,72.00,0.01
113,12.62,71.91,0.01
114,12.70,71.83,0.01
115,12.82,71.71,0.01
116,12.92,71.62,0.01
117,13.04,71.48,0.01
118,13.12,71.41,0.01
119,13.22,71.30,0.01
120,13.33,71.20,0.01
121,13.43,71.09,0.01
122,13.51,71.01,0.01
123,13.59,70.92,0.01
124,13.70,70.82,0.01
125,13.79,70.72,0.01
126,13.88,70.63,0.01
127,14.01,70.50,0.01
128,14.12,70.40,0.01
129,14.21,70.29,0.01
130,14.30,70.20,0.01
131,14.41,70.09,0.01
132,14.51,69.99,0.01
133,14.61,69.88,0.01
134,14.72,69.77,0.01
135,14.82,69.68,0.01
136,14.92,69.58,0.01
137,15.02,69.48,0.01
138,15.12,69.38,0.01
139,15.22,69.27,0.02
140,15.34,69.16,0.02
141,15.43,69.06,0.02
142,15.53,68.95,0.02
143,15.63,68.86,0.02
144,15.73,68.76,0.02
145,15.83,68.66,0.02
146,15.92,68.56,0.02
147,16.02,68.46,0.02
148,16.11,68.37,0.02
149,16.24,68.23,0.02
150,16.33,68.14,0.02
151,16.44,68.04,0.02
152,16.54,67.94,0.02
153,16.62,67.85,0.02
154,16.72,67.76,0.02
155,16.83,67.64,0.02
156,16.94,67.52,0.02
157,17.04,67.42,0.02
158,17.13,67.34,0.02
159,17.23,67.23,0.02
160,17.32,67.14,0.02
161,17.42,67.04,0.02
162,17.52,66.94,0.02
163,17.61,66.84,0.02
164,17.71,66.74,0.02
165,17.81,66.65,0.02
166,17.90,66.55,0.02
167,18.01,66.45,0.02
168,18.10,66.34,0.02
169,18.20,66.25,0.02
170,18.30,66.14,0.02
171,18.41,66.03,0.02
172,18.51,65.94,0.02
173,18.60,65.84,0.02
174,18.69,65.75,0.02
175,18.79,65.65,0.02
176,18.89,65.55,0.02
177,18.98,65.45,0.02
178,19.09,65.34,0.02
179,19.19,65.24,0.02
180,19.28,65.15,0.02
181,19.39,65.04,0.02
182,19.49,64.94,0.02
183,19.58,64.85,0.02
184,19.68,64.75,0.02
185,19.78,64.65,0.02
186,19.87,64.55,0.02
187,19.96,64.45,0.02
