Time,M_C,ExtFrag,IntFrag
1,8.01,5.54,8.00
7,8.01,5.53,8.00
8,8.01,5.53,7.99
9,8.01,5.53,7.93
10,8.01,5.52,7.85
11,8.01,5.52,7.78
12,8.01,5.52,7.71
13,8.01,5.52,7.63
14,8.01,5.52,7.55
15,8.01,5.52,7.48
16,8.01,5.52,7.40
17,8.01,5.52,7.31
18,8.01,5.52,7.25
19,8.01,5.52,7.18
20,8.01,5.52,7.09
21,8.01,5.52,7.02
22,8.01,5.51,6.94
23,8.01,5.51,6.87
24,8.02,5.51,6.79
25,8.02,5.51,6.71
26,8.02,5.51,6.64
27,8.02,5.51,6.57
28,8.02,5.51,6.49
29,8.02,5.51,6.40
30,8.02,5.51,6.33
31,8.02,5.51,6.26
32,8.02,5.51,6.19
33,8.02,5.51,6.12
34,8.02,5.51,6.04
35,8.02,5.51,5.98
36,8.02,5.51,5.90
37,8.02,5.51,5.82
38,8.02,5.51,5.73
39,8.02,5.51,5.66
40,8.02,5.51,5.58
41,8.02,5.51,5.51
42,8.02,5.51,5.43
43,8.02,5.49,5.36
44,8.02,5.49,5.29
45,8.02,5.49,5.21
46,8.02,5.49,5.13
47,8.02,5.49,5.07
48,8.02,5.49,4.99
49,8.02,5.49,4.92
50,8.02,5.49,4.84
51,8.02,5.49,4.76
52,8.02,5.49,4.69
53,8.02,5.49,4.63
54,8.02,5.49,4.54
55,8.02,5.49,4.46
56,8.02,5.49,4.39
57,8.02,5.49,4.30
58,8.02,5.49,4.20
59,8.02,5.49,4.12
60,8.02,5.49,4.05
61,8.02,5.49,3.98
62,8.02,5.49,3.88
63,8.02,5.49,3.80
64,8.02,5.49,3.71
65,8.02,5.49,3.63
66,8.02,5.49,3.56
67,8.02,5.49,3.47
68,8.02,5.49,3.38
69,8.02,5.49,3.30
70,8.02,5.49,3.21
71,8.02,5.49,3.14
72,8.02,5.49,3.05
73,8.02,5.49,2.97
74,8.02,5.49,2.84
75,8.02,5.49,2.75
76,8.02,5.49,2.61
77,8.03,5.49,2.44
78,8.03,5.49,2.28
79,8.03,5.49,2.11
80,8.03,5.48,1.97
81,8.03,5.48,1.88
82,8.03,5.48,1.77
83,8.03,5.48,1.67
84,8.03,5.48,1.54
85,8.03,5.48,1.40
86,8.03,5.48,1.27
87,8.03,5.48,1.16
88,8.03,5.48,1.04
89,8.03,5.48,0.94
90,8.03,5.48,0.84
91,8.03,5.48,0.70
92,8.03,5.48,0.56
93,8.03,5.48,0.42
94,8.03,5.48,0.32
95,8.03,5.48,0.16
96,8.03,5.48,0.03
97,16.03,5.48,8.00
101,16.03,5.48,8.00
102,16.03,5.48,7.98
103,16.03,5.48,7.86
104,16.03,5.48,7.71
105,16.03,5.48,7.61
106,16.03,5.48,7.48
107,16.03,5.48,7.33
108,16.03,5.48,7.18
109,16.03,5.48,7.04
110,16.03,5.48,6.90
111,16.03,5.48,6.79
112,16.03,5.48,6.66
113,16.03,5.48,6.53
114,16.03,5.48,6.39
115,16.03,5.48,6.26
116,16.03,5.48,6.12
117,16.03,5.48,5.99
118,16.03,5.48,5.87
119,16.04,5.48,5.74
120,16.04,5.48,5.61
121,16.04,5.48,5.50
122,16.04,5.48,5.36
123,16.04,5.48,5.26
124,16.04,5.48,5.12
125,16.04,5.48,5.00
126,16.04,5.48,4.90
127,16.04,5.48,4.78
128,16.04,5.48,4.68
129,16.04,5.48,4.54
130,16.04,5.48,4.41
131,16.04,5.48,4.30
132,16.04,5.48,4.14
133,16.04,5.47,4.02
134,16.04,5.47,3.89
135,16.04,5.47,3.75
136,16.04,5.47,3.62
137,16.04,5.47,3.53
138,16.04,5.47,3.40
139,16.04,5.47,3.25
140,16.04,5.47,3.16
141,16.04,5.47,3.07
142,16.04,5.47,2.93
143,16.04,5.47,2.78
144,16.04,5.47,2.68
145,16.04,5.47,2.54
146,16.04,5.47,2.44
147,16.04,5.47,2.31
148,16.04,5.47,2.17
149,16.04,5.47,2.03
150,16.04,5.47,1.89
151,16.04,5.47,1.79
152,16.04,5.47,1.63
153,16.04,5.47,1.50
154,16.04,5.47,1.38
155,16.04,5.47,1.27
156,16.04,5.47,1.13
157,16.04,5.47,0.99
158,16.04,5.47,0.85
159,16.04,5.47,0.72
160,16.04,5.47,0.59
161,16.04,5.47,0.45
162,16.04,5.47,0.35
163,16.04,5.47,0.21
164,16.04,5.47,0.08
165,24.04,5.47,8.00
170,24.04,5.47,8.00
171,24.04,5.47,7.93
172,24.04,5.47,7.84
173,24.04,5.47,7.71
174,24.04,5.47,7.60
175,24.04,5.47,7.47
176,24.04,5.47,7.33
177,24.04,5.47,7.23
178,24.04,5.47,7.10
179,24.04,5.47,6.98
180,24.04,5.47,6.84
181,24.04,5.47,6.70
182,24.04,5.47,6.57
183,24.05,5.46,6.47
184,24.05,5.46,6.34
185,24.05,5.46,6.22
186,24.05,5.46,6.08
