Time,M_C,ExtFrag,IntFrag
1,3.12,838.98,0.01
2,3.76,835.53,0.01
3,4.48,831.71,0.01
4,5.24,827.70,0.01
5,5.98,823.67,0.01
6,6.52,820.77,0.01
7,7.24,816.74,0.01
8,7.96,812.82,0.01
9,8.62,809.20,0.01
10,9.29,805.49,0.01
11,9.83,802.57,0.01
12,10.51,798.82,0.01
13,11.17,795.19,0.01
14,11.85,791.44,0.01
15,12.57,787.47,0.01
16,13.30,783.49,0.01
17,13.83,780.62,0.01
18,14.49,776.95,0.01
19,15.22,772.92,0.01
20,15.90,769.16,0.01
21,16.63,765.20,0.02
22,17.06,762.82,0.02
23,17.52,760.25,0.02
24,18.03,757.45,0.02
25,18.52,754.81,0.02
26,18.97,752.24,0.02
27,19.66,748.49,0.02
28,20.17,745.69,0.02
29,20.80,742.23,0.02
30,21.44,738.79,0.02
31,21.93,736.12,0.02
32,22.45,733.23,0.02
33,23.01,730.17,0.02
34,23.48,727.55,0.02
35,24.20,723.65,0.02
36,24.69,720.94,0.02
37,25.15,718.42,0.02
38,25.80,714.85,0.02
39,26.48,711.09,0.02
40,27.19,707.17,0.02
41,27.68,704.52,0.02
42,28.31,701.06,0.02
43,28.99,697.26,0.02
44,29.58,694.05,0.02
45,30.28,690.23,0.02
46,30.75,687.61,0.02
47,31.42,683.91,0.03
48,32.13,680.01,0.03
49,32.81,676.29,0.03
50,33.52,672.39,0.03
51,34.22,668.55,0.03
52,34.72,665.82,0.03
53,35.36,662.24,0.03
54,36.08,658.29,0.03
55,36.85,654.05,0.03
56,37.51,650.44,0.03
57,38.14,646.98,0.03
58,38.67,644.05,0.03
59,39.16,641.36,0.03
60,39.79,637.89,0.03
61,40.44,634.32,0.03
62,40.94,631.59,0.03
63,41.57,628.11,0.03
64,42.21,624.57,0.03
65,42.68,622.03,0.03
66,43.13,619.54,0.03
67,43.69,616.46,0.03
68,44.26,613.32,0.03
69,44.81,610.31,0.03
70,45.33,607.42,0.03
71,46.04,603.56,0.04
72,46.67,600.09,0.04
73,47.29,596.69,0.04
74,47.87,593.52,0.04
75,48.50,590.06,0.04
76,49.12,586.60,0.04
77,49.86,582.52,0.04
78,50.65,578.20,0.04
79,51.15,575.43,0.04
80,51.68,572.57,0.04
81,52.45,568.29,0.04
82,53.22,564.02,0.04
83,53.87,560.48,0.04
84,54.60,556.44,0.04
85,55.29,552.70,0.04
86,56.04,548.55,0.04
87,56.80,544.37,0.04
88,57.35,541.38,0.04
89,58.08,537.32,0.04
90,58.78,533.48,0.04
91,59.42,529.95,0.04
92,60.07,526.41,0.04
93,60.70,522.97,0.05
94,61.16,520.38,0.05
95,61.97,515.89,0.05
96,62.82,511.23,0.05
97,63.31,508.55,0.05
98,63.76,506.09,0.05
99,64.26,503.30,0.05
100,64.82,500.30,0.05
101,65.38,497.19,0.05
102,65.98,493.82,0.05
103,66.45,491.33,0.05
104,66.97,488.42,0.05
105,67.44,485.82,0.05
106,67.96,482.98,0.05
107,68.52,479.94,0.05
108,69.01,477.22,0.05
109,69.52,474.41,0.05
110,70.01,471.73,0.05
