Time,M_C,ExtFrag,IntFrag
1,6.55,1467.20,1.34
2,11.83,1461.87,1.15
3,11.95,1460.09,0.84
4,12.11,1457.88,0.47
5,12.25,1455.73,0.11
6,13.63,1455.09,1.33
7,13.77,1453.09,1.01
8,13.92,1450.77,0.63
9,14.05,1448.81,0.32
10,14.15,1447.26,0.07
11,15.52,1446.83,1.34
12,15.61,1445.31,1.10
13,15.74,1443.49,0.80
14,15.89,1441.12,0.43
15,16.04,1438.98,0.07
16,17.41,1438.40,1.32
17,17.52,1436.69,1.04
18,17.65,1434.82,0.74
19,17.79,1432.71,0.40
20,17.93,1430.53,0.05
21,19.28,1430.24,1.33
22,19.38,1428.78,1.10
23,19.50,1426.91,0.80
24,19.63,1425.06,0.50
25,19.76,1423.12,0.19
26,21.16,1421.91,1.33
27,21.20,1421.27,1.24
28,21.33,1419.52,0.94
29,21.45,1417.66,0.65
30,21.57,1415.76,0.35
31,21.69,1413.93,0.06
32,23.05,1413.61,1.33
33,23.13,1412.29,1.12
34,23.27,1410.38,0.81
35,23.41,1408.18,0.46
36,23.56,1405.87,0.09
37,24.94,1405.12,1.32
38,25.08,1403.06,0.98
39,25.20,1401.14,0.67
40,25.35,1398.97,0.32
41,25.48,1397.02,0.00
42,26.82,1397.02,1.34
43,26.90,1395.63,1.12
44,27.04,1393.53,0.78
45,27.19,1391.27,0.42
46,27.34,1389.03,0.06
47,28.71,1388.41,1.31
48,28.82,1386.84,1.04
49,28.93,1385.12,0.77
50,29.07,1383.03,0.44
51,29.20,1380.97,0.10
52,30.58,1380.35,1.33
53,30.67,1379.16,1.14
54,30.79,1377.13,0.82
55,30.93,1375.08,0.49
56,31.06,1373.09,0.17
57,32.46,1372.07,1.33
58,32.47,1372.04,1.33
59,32.57,1370.54,1.08
60,32.67,1368.95,0.82
61,32.81,1366.73,0.46
62,32.91,1365.25,0.22
63,34.34,1363.88,1.33
64,34.34,1363.88,1.33
65,34.44,1362.34,1.09
66,34.56,1360.40,0.78
67,34.67,1358.83,0.52
68,34.81,1356.66,0.18
69,36.22,1355.55,1.34
70,36.31,1354.19,1.11
71,36.42,1352.61,0.86
72,36.52,1351.02,0.61
73,36.65,1349.08,0.29
74,36.75,1347.46,0.04
75,38.14,1346.59,1.25
76,38.28,1344.58,0.92
77,38.42,1342.46,0.57
78,38.55,1340.45,0.25
79,39.99,1338.91,1.34
80,40.05,1337.92,1.18
81,40.15,1336.45,0.94
82,40.27,1334.63,0.65
83,40.37,1333.19,0.42
84,40.50,1331.12,0.09
85,41.88,1330.39,1.31
86,42.01,1328.53,1.01
87,42.14,1326.58,0.69
