Time,M_C,ExtFrag,IntFrag
1,5.72,27.84,5.71
17,5.72,27.87,5.68
18,5.72,27.87,5.68
19,5.72,27.87,5.68
20,5.72,27.86,5.63
21,5.72,27.86,5.60
22,5.72,27.86,5.55
23,5.72,27.86,5.52
24,5.72,27.85,5.47
25,5.72,27.85,5.44
26,5.72,27.85,5.39
27,5.72,27.85,5.34
28,5.72,27.85,5.26
29,5.72,27.85,5.22
30,5.72,27.85,5.16
31,5.72,27.85,5.08
32,5.72,27.84,5.00
33,5.72,27.84,4.90
34,5.72,27.84,4.80
35,5.72,27.84,4.69
36,5.72,27.84,4.58
37,5.72,27.84,4.46
38,5.72,27.84,4.33
39,5.72,27.84,4.21
40,5.72,27.84,4.07
41,5.72,27.84,3.94
42,5.72,27.84,3.79
43,5.72,27.84,3.65
44,5.72,27.84,3.50
45,5.72,27.84,3.34
46,5.72,27.84,3.17
47,5.72,27.84,3.00
48,5.72,27.84,2.82
49,5.72,27.84,2.64
50,5.72,27.84,2.46
51,5.72,27.84,2.27
52,5.72,27.84,2.08
53,5.73,27.83,1.89
54,5.73,27.83,1.71
55,5.73,27.83,1.53
56,5.73,27.83,1.34
57,5.73,27.83,1.16
58,5.73,27.83,0.96
59,5.73,27.83,0.78
60,5.73,27.83,0.60
61,5.73,27.83,0.41
62,5.73,27.83,0.23
63,5.73,27.83,0.05
64,11.44,27.83,5.71
66,11.44,27.83,5.71
67,11.44,27.83,5.56
68,11.44,27.83,5.38
69,11.44,27.83,5.19
70,11.44,27.83,5.01
71,11.44,27.83,4.83
72,11.44,27.83,4.64
73,11.44,27.83,4.46
74,11.44,27.83,4.28
75,11.44,27.83,4.10
76,11.44,27.83,3.91
77,11.44,27.83,3.72
78,11.44,27.83,3.54
79,11.44,27.83,3.35
80,11.44,27.83,3.17
81,11.44,27.83,2.99
82,11.44,27.83,2.81
83,11.44,27.83,2.62
84,11.44,27.83,2.44
85,11.44,27.83,2.26
86,11.44,27.83,2.08
87,11.44,27.83,1.89
88,11.44,27.83,1.71
89,11.44,27.83,1.53
90,11.44,27.83,1.35
91,11.45,27.82,1.16
92,11.45,27.82,0.98
93,11.45,27.82,0.80
94,11.45,27.82,0.62
95,11.45,27.82,0.44
96,11.45,27.82,0.24
97,11.45,27.82,0.06
98,17.16,27.82,5.71
100,17.16,27.82,5.71
101,17.16,27.82,5.58
102,17.16,27.82,5.40
103,17.16,27.82,5.20
104,17.16,27.82,5.02
105,17.16,27.82,4.83
106,17.16,27.82,4.65
107,17.16,27.82,4.47
108,17.16,27.82,4.28
109,17.16,27.82,4.10
110,17.16,27.82,3.90
111,17.16,27.82,3.72
112,17.16,27.82,3.54
113,17.16,27.82,3.36
114,17.16,27.82,3.17
115,17.16,27.82,2.99
116,17.16,27.82,2.81
117,17.16,27.82,2.63
118,17.16,27.82,2.45
119,17.16,27.82,2.26
120,17.16,27.82,2.08
121,17.16,27.82,1.90
122,17.16,27.82,1.72
123,17.16,27.82,1.54
124,17.16,27.82,1.35
125,17.16,27.82,1.17
126,17.16,27.82,0.99
127,17.16,27.81,0.81
128,17.16,27.81,0.63
129,17.16,27.81,0.45
130,17.16,27.81,0.26
131,17.16,27.81,0.08
132,22.87,27.81,5.71
134,22.87,27.81,5.71
135,22.87,27.81,5.58
136,22.87,27.81,5.39
137,22.87,27.81,5.20
138,22.87,27.81,5.02
139,22.87,27.81,4.84
140,22.88,27.81,4.65
141,22.88,27.81,4.47
142,22.88,27.81,4.29
143,22.88,27.80,4.11
144,22.88,27.80,3.92
145,22.88,27.80,3.74
146,22.88,27.80,3.56
147,22.88,27.80,3.38
148,22.88,27.80,3.20
149,22.88,27.80,3.01
150,22.88,27.80,2.83
151,22.88,27.80,2.65
152,22.88,27.80,2.47
153,22.88,27.80,2.27
154,22.88,27.80,2.16
155,22.88,27.80,2.03
156,22.88,27.80,1.85
157,22.88,27.80,1.67
158,22.88,27.80,1.49
159,22.88,27.80,1.31
160,22.88,27.80,1.13
161,22.88,27.80,0.95
162,22.88,27.80,0.77
163,22.88,27.80,0.59
164,22.88,27.80,0.40
165,22.88,27.80,0.22
166,22.88,27.80,0.06
167,28.59,27.80,5.70
169,28.59,27.80,5.70
170,28.59,27.80,5.59
171,28.59,27.80,5.40
172,28.59,27.80,5.22
173,28.59,27.80,5.04
174,28.59,27.80,4.86
175,28.59,27.80,4.68
176,28.59,27.80,4.50
177,28.59,27.80,4.32
178,28.59,27.80,4.14
179,28.59,27.80,3.96
180,28.59,27.80,3.78
181,28.59,27.80,3.60
182,28.59,27.80,3.42
183,28.59,27.80,3.25
184,28.59,27.80,3.07
185,28.59,27.80,2.89
186,28.59,27.80,2.71
187,28.59,27.80,2.53
188,28.59,27.80,2.35
189,28.59,27.80,2.17
190,28.60,27.80,1.99
191,28.60,27.80,1.81
192,28.60,27.80,1.64
193,28.60,27.80,1.46
194,28.60,27.80,1.28
195,28.60,27.80,1.10
196,28.60,27.80,0.92
197,28.60,27.80,0.74
198,28.60,27.80,0.56
199,28.60,27.80,0.38
200,28.60,27.80,0.20
201,28.60,27.80,0.02
202,34.31,27.80,5.71
203,34.31,27.80,5.71
204,34.31,27.80,5.67
205,34.32,27.80,5.49
206,34.32,27.80,5.31
207,34.32,27.80,5.13
208,34.32,27.80,4.95
209,34.32,27.80,4.79
210,34.32,27.80,4.61
211,34.32,27.80,4.43
212,34.32,27.80,4.25
213,34.32,27.80,4.06
214,34.32,27.80,3.89
215,34.32,27.80,3.71
216,34.32,27.80,3.52
217,34.32,27.80,3.34
218,34.32,27.80,3.18
219,34.32,27.80,3.00
220,34.32,27.80,2.82
221,34.32,27.80,2.63
222,34.32,27.80,2.46
223,34.32,27.80,2.28
224,34.32,27.80,2.09
225,34.32,27.80,1.91
226,34.32,27.80,1.73
227,34.32,27.80,1.55
228,34.32,27.80,1.37
229,34.32,27.80,1.21
230,34.32,27.80,1.03
231,34.32,27.80,0.85
232,34.32,27.80,0.67
233,34.32,27.80,0.49
234,34.32,27.80,0.31
235,34.32,27.80,0.12
236,40.03,27.80,5.71
238,40.03,27.80,5.71
239,40.03,27.80,5.59
240,40.03,27.80,5.41
241,40.03,27.80,5.23
242,40.03,27.80,5.05
243,40.03,27.80,4.87
244,40.03,27.79,4.69
245,40.03,27.79,4.51
246,40.03,27.79,4.33
247,40.03,27.79,4.15
248,40.03,27.79,3.97
249,40.03,27.79,3.80
250,40.03,27.79,3.62
251,40.03,27.79,3.44
252,40.03,27.79,3.26
253,40.03,27.79,3.08
254,40.03,27.79,2.90
255,40.03,27.79,2.72
256,40.03,27.79,2.54
257,40.03,27.79,2.36
258,40.03,27.79,2.20
259,40.03,27.79,2.01
260,40.03,27.79,1.83
261,40.03,27.79,1.65
262,40.03,27.79,1.47
263,40.04,27.79,1.29
264,40.04,27.79,1.11
265,40.04,27.79,0.93
266,40.04,27.79,0.75
267,40.04,27.79,0.57
268,40.04,27.79,0.41
269,40.04,27.79,0.22
270,40.04,27.79,0.04
271,45.75,27.78,5.71
272,45.75,27.78,5.71
273,45.75,27.78,5.68
274,45.75,27.78,5.50
