Time,M_C,ExtFrag,IntFrag
1,0.62,365.65,0.01
2,0.94,365.36,0.01
3,1.23,365.09,0.01
4,1.55,364.73,0.01
5,1.93,364.37,0.01
6,2.25,364.02,0.01
7,2.55,363.70,0.01
8,2.89,363.34,0.01
9,3.21,363.02,0.01
10,3.50,362.73,0.01
11,3.83,362.39,0.01
12,4.15,362.05,0.01
13,4.48,361.70,0.01
14,4.86,361.34,0.01
15,5.16,361.02,0.01
16,5.47,360.70,0.01
19,6.71,359.38,0.02
20,6.95,359.20,0.02
21,7.29,358.81,0.02
22,7.62,358.46,0.02
23,7.94,358.15,0.02
24,8.24,357.82,0.02
25,8.53,357.55,0.02
26,8.86,357.20,0.02
27,9.15,356.90,0.02
28,9.50,356.56,0.02
29,9.80,356.27,0.02
31,10.84,355.15,0.02
32,10.91,355.15,0.02
33,11.22,354.83,0.02
34,11.52,354.52,0.02
35,11.81,354.23,0.02
36,12.12,353.88,0.02
37,12.46,353.56,0.02
38,12.81,353.15,0.02
39,13.10,352.90,0.02
40,13.41,352.56,0.02
41,13.76,352.19,0.02
44,15.20,350.70,0.02
45,15.26,350.70,0.02
46,15.59,350.31,0.02
47,15.90,350.02,0.03
48,16.19,349.75,0.03
49,16.52,349.40,0.03
50,16.89,349.01,0.03
51,17.24,348.66,0.03
52,17.63,348.27,0.03
53,17.95,347.94,0.03
54,18.29,347.61,0.03
57,19.51,346.30,0.03
58,19.81,346.02,0.03
59,20.14,345.67,0.03
60,20.45,345.40,0.03
61,20.80,345.01,0.03
62,21.14,344.68,0.03
63,21.46,344.35,0.03
64,21.82,344.00,0.03
65,22.17,343.61,0.03
66,22.47,343.34,0.03
67,22.77,343.02,0.03
69,23.73,342.02,0.03
70,23.89,341.90,0.03
71,24.21,341.55,0.03
72,24.55,341.18,0.03
73,24.85,340.91,0.03
74,25.20,340.54,0.03
75,25.50,340.23,0.03
76,25.83,339.84,0.03
77,26.13,339.58,0.04
78,26.46,339.27,0.04
79,26.78,338.94,0.04
80,27.07,338.59,0.04
81,27.40,338.30,0.04
82,27.69,338.04,0.04
83,28.03,337.64,0.04
84,28.32,337.38,0.04
85,28.65,337.01,0.04
86,28.95,336.71,0.04
87,29.27,336.38,0.04
88,29.62,336.02,0.04
89,29.99,335.68,0.04
91,30.73,334.89,0.04
92,31.04,334.62,0.04
93,31.39,334.25,0.04
94,31.76,333.87,0.04
95,32.08,333.52,0.04
96,32.38,333.23,0.04
97,32.70,332.91,0.04
98,33.06,332.55,0.04
99,33.39,332.23,0.04
100,33.73,331.87,0.04
101,34.05,331.56,0.04
103,34.95,330.62,0.04
104,35.22,330.37,0.04
105,35.56,330.00,0.04
106,35.91,329.65,0.04
107,36.20,329.38,0.04
108,36.48,329.07,0.05
109,36.82,328.73,0.05
110,37.15,328.39,0.05
111,37.47,328.08,0.05
112,37.77,327.77,0.05
113,38.05,327.47,0.05
117,39.72,325.76,0.05
118,40.00,325.52,0.05
119,40.30,325.21,0.05
120,40.60,324.90,0.05
121,40.89,324.60,0.05
122,41.23,324.27,0.05
123,41.56,323.91,0.05
124,41.87,323.61,0.05
125,42.23,323.23,0.05
126,42.54,322.91,0.05
127,42.88,322.59,0.05
131,44.83,320.57,0.05
132,44.93,320.52,0.05
133,45.25,320.20,0.05
134,45.63,319.80,0.05
135,46.01,319.40,0.05
136,46.36,319.03,0.05
137,46.75,318.64,0.06
138,47.03,318.38,0.06
139,47.34,318.06,0.06
140,47.69,317.70,0.06
141,48.03,317.37,0.06
142,48.36,317.02,0.06
143,48.71,316.63,0.06
144,49.04,316.30,0.06
145,49.36,316.01,0.06
146,49.72,315.63,0.06
147,50.09,315.27,0.06
148,50.43,314.92,0.06
149,50.76,314.55,0.06
150,51.06,314.29,0.06
151,51.39,313.94,0.06
159,55.20,310.02,0.06
160,55.24,310.02,0.06
161,55.46,309.81,0.06
