Time,M_C,ExtFrag,IntFrag
1,58.83,15.70,58.79
12,58.83,15.70,58.78
13,82.88,15.70,82.66
18,82.88,15.70,82.64
19,85.55,15.69,85.18
21,85.55,15.69,85.16
22,85.55,15.69,85.04
23,85.55,15.69,84.75
24,85.55,15.68,84.47
25,85.55,15.68,84.19
26,85.55,15.68,83.91
27,85.55,15.68,83.62
28,85.55,15.68,83.32
29,85.55,15.68,83.04
30,85.55,15.68,82.69
31,85.55,15.68,82.38
32,85.56,15.67,82.09
33,85.56,15.67,81.80
34,85.56,15.67,81.54
35,85.56,15.61,81.27
36,85.56,15.61,80.96
37,85.56,15.61,80.70
38,85.56,15.61,80.37
39,85.56,15.61,80.08
40,85.56,15.61,79.80
41,85.56,15.61,79.52
42,85.56,15.64,79.22
43,85.56,15.64,78.92
44,85.56,15.64,78.62
45,85.56,15.64,78.30
46,85.56,15.64,78.03
47,85.56,15.64,77.69
48,85.56,15.64,77.40
49,85.56,15.64,77.11
50,85.56,15.64,76.78
51,85.56,15.64,76.41
52,85.56,15.64,76.10
53,85.56,15.62,75.76
54,85.57,15.62,75.45
55,85.57,15.62,75.16
56,85.57,15.62,74.87
57,85.57,15.62,74.58
58,85.57,15.62,74.28
59,85.57,15.62,73.97
60,85.57,15.62,73.68
61,85.57,15.62,73.40
62,85.57,15.62,73.11
63,85.57,15.62,72.80
64,85.57,15.62,72.47
65,85.57,15.62,72.13
66,85.57,15.62,71.85
67,85.57,15.62,71.52
68,85.57,15.62,71.25
69,85.57,15.62,70.96
70,85.57,15.62,70.67
71,85.57,15.62,70.39
72,85.57,15.62,70.08
73,85.57,15.62,69.79
74,85.57,15.62,69.50
75,85.57,15.62,69.18
76,85.57,15.62,68.85
77,85.57,15.62,68.57
78,85.57,15.62,68.25
79,85.57,15.62,67.95
80,85.57,15.62,67.66
81,85.57,15.62,67.38
82,85.57,15.62,67.09
83,85.57,15.62,66.79
84,85.57,15.62,66.50
85,85.57,15.62,66.21
86,85.57,15.62,65.92
87,85.57,15.62,65.61
88,85.57,15.62,65.31
89,85.57,15.62,65.01
90,85.58,15.62,64.67
91,85.58,15.62,64.40
92,85.58,15.62,64.11
93,85.58,15.62,63.85
94,85.58,15.62,63.57
95,85.58,15.62,63.28
96,85.58,15.62,62.97
97,85.58,15.62,62.69
98,85.58,15.62,62.37
99,85.58,15.62,62.05
100,85.58,15.62,61.76
101,85.58,15.62,61.46
102,85.58,15.62,61.18
103,85.58,15.62,60.88
104,85.58,15.62,60.60
