Time,M_C,ExtFrag,IntFrag
1,0.07,2.33,0.00
2,0.14,2.25,0.00
3,0.20,2.21,0.00
4,0.28,2.14,0.00
5,0.01,2.52,0.00
6,0.08,2.29,0.00
7,0.16,2.24,0.00
8,0.23,2.18,0.00
9,0.31,2.12,0.00
10,0.04,2.41,0.00
11,0.11,2.27,0.00
12,0.18,2.23,0.00
13,0.24,2.17,0.00
14,0.30,2.14,0.00
15,0.04,2.43,0.00
16,0.12,2.36,0.00
17,0.20,2.29,0.00
18,0.28,2.23,0.00
19,0.02,2.48,0.00
20,0.09,2.32,0.00
21,0.16,2.27,0.00
22,0.23,2.21,0.00
23,0.30,2.16,0.00
24,0.04,2.41,0.00
25,0.11,2.28,0.00
26,0.19,2.22,0.00
27,0.27,2.16,0.00
28,0.22,2.30,0.00
29,0.08,2.30,0.00
30,0.15,2.23,0.00
31,0.22,2.20,0.00
32,0.29,2.14,0.00
33,0.03,2.52,0.00
34,0.09,2.37,0.00
35,0.16,2.29,0.00
36,0.23,2.23,0.00
37,0.31,2.20,0.00
38,0.04,2.36,0.00
39,0.10,2.30,0.00
40,0.18,2.25,0.00
41,0.25,2.20,0.00
42,0.31,2.14,0.00
43,0.04,2.41,0.00
44,0.11,2.32,0.00
45,0.18,2.22,0.00
46,0.25,2.17,0.00
47,0.32,2.10,0.00
