Time,M_C,ExtFrag,IntFrag
1,9.44,20.66,9.35
6,10.88,20.65,10.77
7,12.01,20.65,11.89
8,12.63,20.65,12.50
9,12.96,19.67,12.75
10,13.24,19.05,12.81
11,13.31,19.12,12.69
12,13.39,19.12,12.54
13,13.47,19.12,12.40
14,13.54,19.12,12.26
15,13.62,19.12,12.13
16,13.69,19.12,12.01
17,13.78,19.08,11.84
18,13.88,19.02,11.67
19,13.96,18.94,11.51
20,14.03,18.88,11.38
21,14.13,18.70,11.21
22,14.23,18.54,11.03
23,14.33,18.43,10.86
24,14.42,18.38,10.70
25,14.52,18.34,10.51
26,14.61,18.24,10.34
27,14.70,18.11,10.19
28,14.77,18.02,10.06
29,14.88,17.93,9.87
30,14.98,17.87,9.68
31,15.08,17.84,9.50
32,15.17,17.71,9.33
33,15.30,17.49,9.10
34,15.44,17.33,8.86
35,15.56,17.26,8.64
36,15.67,17.18,8.44
37,15.73,17.15,8.32
38,15.76,17.14,8.25
39,15.57,17.14,8.20
40,15.59,17.14,8.16
41,15.60,17.14,8.12
42,15.62,17.12,8.08
43,15.63,17.12,8.04
44,15.65,17.11,8.00
45,15.66,17.11,7.96
46,15.67,17.10,7.91
47,15.69,17.10,7.88
48,15.70,17.10,7.84
49,15.72,17.09,7.80
50,15.73,17.08,7.75
51,15.74,17.08,7.71
52,15.76,17.08,7.66
53,15.78,17.08,7.62
54,15.79,17.05,7.58
55,15.81,17.05,7.53
56,15.82,17.05,7.49
57,15.84,17.05,7.44
58,15.85,17.04,7.39
59,15.87,17.04,7.35
60,15.89,17.02,7.30
61,15.90,17.00,7.25
62,15.92,17.00,7.21
63,15.93,16.98,7.16
64,15.95,16.98,7.12
65,15.96,16.96,7.07
66,15.98,16.95,7.03
67,15.99,16.95,6.98
68,16.01,16.95,6.94
69,16.02,16.93,6.90
70,16.04,16.88,6.85
71,16.05,16.88,6.81
72,16.07,16.88,6.76
73,16.09,16.86,6.71
74,16.10,16.80,6.66
75,16.12,16.80,6.61
76,16.14,16.80,6.57
77,16.15,16.77,6.52
78,16.17,16.75,6.47
79,16.19,16.71,6.42
80,16.21,16.71,6.37
81,16.22,16.71,6.32
82,16.24,16.69,6.27
83,16.26,16.69,6.23
84,16.27,16.67,6.18
85,16.29,16.63,6.14
86,16.30,16.63,6.09
87,16.32,16.61,6.05
88,16.33,16.61,6.00
89,16.35,16.60,5.96
90,16.37,16.58,5.90
91,16.39,16.56,5.85
92,16.41,16.55,5.79
93,16.43,16.49,5.73
94,16.44,16.49,5.68
95,16.46,16.46,5.62
96,16.48,16.43,5.57
97,16.50,16.43,5.51
98,16.52,16.43,5.46
99,16.54,16.38,5.40
100,16.56,16.38,5.34
101,16.58,16.38,5.28
102,16.60,16.37,5.22
103,16.62,16.34,5.15
104,16.64,16.27,5.09
105,16.66,16.27,5.03
106,16.68,16.26,4.98
107,16.70,16.26,4.92
108,16.72,16.21,4.87
109,16.74,16.20,4.82
110,16.76,16.18,4.77
111,16.77,16.17,4.72
112,16.79,16.16,4.67
113,16.81,16.13,4.62
114,16.83,16.09,4.56
115,16.84,16.09,4.52
116,16.86,16.08,4.47
117,16.88,16.07,4.41
118,16.90,16.05,4.35
119,16.92,16.01,4.30
120,16.94,16.00,4.25
121,16.95,15.99,4.19
122,16.97,15.97,4.14
123,16.99,15.96,4.08
124,16.99,15.96,4.08
125,16.99,15.96,4.08
126,16.99,15.96,4.08
127,16.99,15.96,4.08
128,16.99,15.96,4.08
129,16.99,15.96,4.08
130,16.99,15.96,4.08
131,16.99,15.96,4.08
132,16.99,15.96,4.08
133,16.99,15.96,4.08
134,16.99,15.96,4.08
135,16.99,15.96,4.08
136,16.99,15.96,4.08
137,16.99,15.96,4.08
138,16.99,15.96,4.08
139,16.99,15.96,4.08
140,16.99,15.96,4.08
141,16.99,15.96,4.08
142,16.99,15.96,4.08
143,16.99,15.96,4.08
144,17.00,15.96,4.08
145,17.00,15.96,4.08
146,17.00,15.96,4.08
147,17.00,15.96,4.08
148,17.00,15.96,4.08
149,17.00,15.96,4.08
150,17.00,15.96,4.08
151,17.00,15.96,4.08
152,17.00,15.96,4.08
153,17.00,15.96,4.08
154,17.00,15.96,4.08
155,17.00,15.96,4.08
156,17.00,15.96,4.08
157,17.00,15.96,4.08
158,17.00,15.96,4.08
159,17.00,15.96,4.08
160,17.00,15.96,4.08
161,17.00,15.96,4.08
162,17.00,15.96,4.08
163,17.00,15.96,4.08
164,17.00,15.96,4.08
165,17.00,15.96,4.08
166,17.00,15.96,4.08
167,17.00,15.96,4.08
168,17.00,15.96,4.08
169,17.00,15.96,4.08
170,17.00,15.96,4.08
